Institution Name,City location of institution,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Full-time retention rate  2015 (EF2015D),Grand total (C2016_A  First major  Grand total  Bachelor's degree),AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15),AdmissionsDiversityIndex,ApplicantsDiversityIndex
Frostburg State University,Frostburg,www.frostburg.edu,1,MD,1,23,2,1,76,964,0.256418451,0.499773069,0.593441724,0.459846427,0.863438213,0.082561365,0.474048937,118,0.772188655,0.499989809
Indiana University-Bloomington,Bloomington,www.iub.edu,1,IN,1,13,2,1,89,7316,0.042584056,0.499681408,0.550058083,0.454000389,0.858992758,0.093079954,0.447289528,214,0.62255362,0.496292757
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,www.lsu.edu,1,LA,1,12,2,1,85,4806,0.098313988,0.499381532,0.486112128,0.451304475,0.799498791,0.117909988,0.474981675,174,0.7293846,0.491434154
Northern Arizona University,Flagstaff,nau.edu/,1,AZ,1,13,2,1,74,5119,0.338256079,0.48425847,0.583468959,0.458030634,0.830424289,0.08816088,0.479675506,130,0.239027095,0.47693707
Oakland University,Rochester Hills,www.oakland.edu,1,MI,1,21,2,1,76,3196,0.301228632,0.489045054,0.448986662,0.460407384,0.81798612,0.11526269,0.479391142,108,0.681368284,0.479340384
Oregon State University,Corvallis,oregonstate.edu,1,OR,1,13,2,1,85,5084,0.330703078,0.497139951,0.578130892,0.452524451,0.870980732,0.089472338,0.466287323,155,0.822509524,0.500020955
Rutgers University-New Brunswick,New Brunswick,newbrunswick.rutgers.edu/,1,NJ,1,13,2,1,93,7838,0.144339146,0.499972404,0.742997774,0.449091289,0.878232802,0.068556535,0.4796886,221,0.715540218,0.499167744
San Francisco State University,San Francisco,www.sfsu.edu,1,CA,1,11,2,1,82,5696,0.314520349,0.491892597,0.796852068,0.457557834,0.825316107,0.111681353,0.483609555,108,0.257428248,0.471453998
Syracuse University,Syracuse,syr.edu/,2,NY,1,12,2,1,91,3467,0.067081819,0.495480132,0.672475538,0.451174752,0.861024969,0.090495998,0.500003947,232,0.345427317,0.496207096
The University of Tennessee-Chattanooga,Chattanooga,www.utc.edu,1,TN,1,12,2,1,71,2022,0.219905001,0.492450255,0.430618791,0.465654763,0.831007908,0.118483834,0.465559052,91,0.650586944,0.47888074
The University of Tennessee-Knoxville,Knoxville,www.utk.edu,1,TN,1,12,2,1,85,4528,0.138622197,0.499920386,0.407516332,0.454456198,0.822665885,0.121870377,0.472734838,174,0.696846531,0.493559123
University of Arkansas,Fayetteville,www.uark.edu,1,AR,1,13,2,1,82,4615,0.173921142,0.499038562,0.426179704,0.453333112,0.811172901,0.119530103,0.474033839,160,0.688894882,0.486789505
University of California-Davis,Davis,www.ucdavis.edu,1,CA,1,23,2,1,93,7560,0.109469437,0.484205018,0.771181571,0.447712442,0.834557917,0.085897801,0.461871106,216,0.321706137,0.49643608
University of Central Florida,Orlando,www.ucf.edu/,1,FL,1,21,2,1,89,12832,0.323731639,0.495646315,0.654470538,0.457014019,0.816535334,0.029100968,0.464728183,174,0.85316123,0.487604339
University of Houston,Houston,www.uh.edu/,1,TX,1,11,2,1,86,6802,0.307035487,0.499811237,0.786961096,0.456267229,0.800568103,0.115671238,0.480294724,117,0.89189684,0.498639312
University of Maine,Orono,www.umaine.edu/,1,ME,1,23,2,1,76,1660,0.156639463,0.49919625,0.391336653,0.460671701,0.847787556,0.029645466,0.460172416,150,0.443786219,0.498559515
University of Pennsylvania,Philadelphia,www.upenn.edu,2,PA,1,11,2,1,98,2927,0.107279402,0.499043957,0.727567414,0.445969385,0.84655141,0.088852947,0.500003605,280,0.867585915,0.499792137
University of Wisconsin-Milwaukee,Milwaukee,www.uwm.edu,1,WI,1,11,2,1,72,3900,0.342828752,0.499479264,0.522318486,0.46065129,0.839429604,0.094966998,0.483848612,101,0.850286266,0.494515033
